sentiment,group
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
negative,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
positive,agent
positive,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
positive,agent
neutral,agent
neutral,agent
positive,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
positive,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
negative,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
negative,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
positive,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
neutral,agent
